Body
Date,Weight,BMI,Fat
"2016-11-01","171.36","25.3","21.07"
"2016-11-02","171.48","25.31","21.046"
"2016-11-03","171.6","25.33","21.02"
"2016-11-04","169.82","25.07","20.829"
"2016-11-05","173.79","25.65","20.315"
"2016-11-06","170.7","25.2","19.993"
"2016-11-07","171.07","25.25","20.142"
"2016-11-08","172.15","25.41","20.459"
"2016-11-09","168.76","24.91","20.569"
"2016-11-10","171.27","25.28","20.479"
"2016-11-11","171.54","25.32","20.581"
"2016-11-12","171.81","25.36","20.683"
"2016-11-13","172.08","25.4","20.785"
"2016-11-14","172.35","25.44","20.889"
"2016-11-15","171.45","25.31","21.002"
"2016-11-16","170.54","25.17","21.115"
"2016-11-17","171.51","25.32","21.047"
"2016-11-18","172.47","25.46","20.979"
"2016-11-19","173.43","25.6","20.909"
"2016-11-20","171.6","25.33","20.965"
"2016-11-21","171.29","25.28","21.014"
"2016-11-22","170.97","25.24","21.063"
"2016-11-23","170.65","25.19","21.114"
"2016-11-24","171.11","25.26","21.094"
"2016-11-25","171.57","25.33","21.074"
"2016-11-26","172.02","25.39","21.054"
"2016-11-27","172.48","25.46","21.031"
"2016-11-28","171.43","25.3","20.794"
"2016-11-29","172.4","25.45","20.99"
"2016-11-30","171.44","25.31","20.96"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-11-01","3,328","9,840","4.45","6","622","249","95","42","1,989"
"2016-11-02","3,356","9,851","4.48","21","720","166","121","60","1,910"
"2016-11-03","3,393","8,382","3.83","9","622","223","122","35","2,041"
"2016-11-04","3,397","9,615","4.37","10","661","240","75","60","1,957"
"2016-11-05","4,131","19,761","8.93","24","411","311","114","108","2,967"
"2016-11-06","3,022","7,587","3.43","8","651","206","62","17","1,480"
"2016-11-07","2,860","7,694","3.52","22","678","230","26","24","1,344"
"2016-11-08","3,181","9,213","4.17","2","714","270","71","26","1,807"
"2016-11-09","3,569","13,591","6.09","62","685","198","56","113","2,157"
"2016-11-10","2,793","7,556","3.5","18","795","187","36","23","1,280"
"2016-11-11","2,986","7,486","3.43","10","710","231","43","18","1,446"
"2016-11-12","3,802","11,055","4.99","21","554","142","157","102","2,471"
"2016-11-13","4,387","16,868","7.62","25","904","173","206","157","3,262"
"2016-11-14","3,558","8,969","4.07","8","558","201","107","74","2,171"
"2016-11-15","3,363","9,139","4.13","16","665","172","116","63","2,003"
"2016-11-16","3,043","7,583","3.47","6","1,144","230","44","22","1,543"
"2016-11-17","3,021","6,245","2.89","7","1,183","125","72","53","1,428"
"2016-11-18","3,659","12,265","5.59","33","642","279","57","61","2,189"
"2016-11-19","3,330","7,583","3.43","17","523","216","94","26","1,849"
"2016-11-20","2,855","5,367","2.42","14","713","161","40","46","1,384"
"2016-11-21","2,725","5,364","2.45","8","787","115","60","39","1,213"
"2016-11-22","4,183","10,915","5.03","20","525","236","195","81","2,917"
"2016-11-23","3,474","11,800","5.33","26","655","228","120","51","2,079"
"2016-11-24","3,070","9,117","4.12","14","829","279","56","13","1,620"
"2016-11-25","3,439","11,540","5.21","32","790","161","10","0","800"
"2016-11-26","3,554","11,886","5.37","58","1,440","0","0","0","0"
"2016-11-27","3,160","7,896","3.57","20","1,440","0","0","0","0"
"2016-11-28","3,155","9,962","4.5","38","1,440","0","0","0","0"
"2016-11-29","3,341","10,239","4.63","36","1,173","165","76","26","1,410"
"2016-11-30","3,287","12,536","5.54","50","1,106","241","35","58","1,812"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-11-01","389","51","3","440"
"2016-11-02","323","35","2","358"
"2016-11-03","389","19","0","409"
"2016-11-04","402","30","0","432"
"2016-11-05","428","37","4","471"
"2016-11-06","441","45","3","486"
"2016-11-07","431","29","4","460"
"2016-11-08","409","31","1","440"
"2016-11-09","284","9","1","293"
"2016-11-10","456","14","0","470"
"2016-11-11","430","32","4","462"
"2016-11-12","452","33","2","485"
"2016-11-13","0","0","0","0"
"2016-11-14","386","15","1","402"
"2016-11-15","484","37","3","522"
"2016-11-16","0","0","0","0"
"2016-11-17","0","0","0","0"
"2016-11-18","356","40","6","396"
"2016-11-19","537","46","2","583"
"2016-11-20","466","23","1","489"
"2016-11-21","380","22","2","402"
"2016-11-22","405","34","0","440"
"2016-11-23","369","16","0","386"
"2016-11-24","250","13","1","263"
"2016-11-25","427","52","4","479"
"2016-11-26","0","0","0","0"
"2016-11-27","0","0","0","0"
"2016-11-28","0","0","0","0"
"2016-11-29","0","0","0","0"
"2016-11-30","0","0","0","0"

